"Israel Smith (April 4, 1759 – December 2, 1810) was an American lawyer and politician. He held a wide variety of positions in the state of Vermont, including as a member of the United States House of Representatives, a member of the United States Senate and Governor of Vermont.",Agent,Politician,Governor,Israel_Smith,49
"Murrayfield Stadium (known as BT Murrayfield Stadium for sponsorship reasons, or usually just known as Murrayfield) is a sports stadium located in the west end of Edinburgh, the capital of Scotland. Its all-seater capacity is 67,144, which makes it the largest stadium in Scotland and the fifth largest in the United Kingdom. The stadium is the home of the Scottish Rugby Union (SRU), and is primarily used as a venue for rugby union and hosts most of Scotland's home test matches, the Scottish Hydro Electric Cup final, as well as Pro12 and Heineken Cup matches. Although mainly a rugby union stadium, Murrayfield has in the past hosted American football, rugby league and association football matches and music concerts.",Place,SportFacility,Stadium,Murrayfield_Stadium,118
Scott Henry (born 20 January 1987) is a Scottish professional golfer. Henry played on the Challenge Tour in 2009 and 2012. He won his first title at the 2012 Kazakhstan Open.,Agent,Athlete,GolfPlayer,Scott_Henry_(golfer),31
"The Anllóns is a Galician river that begins in the Xalo Mountains at an elevation of 400 metres (1,300 ft) above sea level and flows into the Atlantic via the Ria of Corme and Laxe. Along its 54.4-kilometre (33.8 mi) course, it crosses the municipalities of Cabana de Bergantiños, Carballo, Cerceda, Coristanco and Ponteceso. Its average flow is 9.931 cubic metres per second (350.7 cu ft/s). It was declared a Site of Community Importance in the year 2001. It is fed by brooks like the Graña, Quenxe, Acheiro, Abaixo, Queo or Bertón during its high course. After the pass at Mount Neme, it receives the water of the brooks Gándara, Bandeira, Vao, Galvar, Portecelo or Batán, and in its low course its tributaries include the brooks Lourido, Ponteceso, Prados and Bouzas.",Place,Stream,River,Anllóns,131
"Pseudopleurococcus is a genus of green algae, in the family Chaetophoraceae. It was described by J.W. Snow in a 1899 volume of the Annals of Botany. The genus contains six recognized species.",Species,Plant,GreenAlga,Pseudopleurococcus,32
"Károly Grósz [ˈkaːroj ˈɡroːs] (August 1, 1930 – January 7, 1996) was a Hungarian communist politician, who served as the General Secretary of the Hungarian Socialist Workers' Party from 1988 to 1989.",Agent,Politician,President,Károly_Grósz,32
"Jennifer Rudolph Walsh is a Board Member at WME and runs the agency’s Worldwide Literary Department. Walsh’s department publishes over 200 books a year, half of those landing on the New York Times Best Seller List. The sole female member of WME’s board, Walsh has been named to the Hollywood Reporter’s Women in Entertainment list for five years running. She created WME’s first Women’s Summit in 2011, which assembled 120 female execs from the agency’s offices around the world. She joined the William Morris Agency in 2000 when the agency acquired The Writers Shop, of which she was Co-Owner and Co-President. In 2001, Walsh founded the New York Public Library Young Lions Fiction Award. Established in 2001, this annual award recognizes the work of young authors and celebrates their accomplishments publicly, making a difference in their lives as they continue to build their careers. Walsh also sits of the board of Room to Grow. She lives in Manhattan with her husband and their three children.",Agent,Person,BusinessPerson,Jennifer_Rudolph_Walsh,165
"Hawaii Winter Baseball, based in Honolulu, Hawaii, was a professional baseball league located on the Hawaiian island of Oahu. It was loosely affiliated with Major League Baseball.",Agent,SportsLeague,BaseballLeague,Hawaii_Winter_Baseball,27
"James Black Ronald (27 August 1861 – 27 July 1941) was an Australian politician. Born in Scotland, he was educated at Edinburgh University and became a Presbyterian clergyman. Migrating to Australia in 1888, he became a clergyman in Melbourne. In 1901, he attempted to gain Protectionist endorsement to contest the Australian House of Representatives seat of Southern Melbourne; when he was unsuccessful, he turned to the Labor Party, which endorsed him instead. Ronald won the seat, one of only two Victorian Labor members elected in the first federal election. Ronald's seat was abolished in 1906, and he attempted to gain Labor endorsement to contest the neighbouring Melbourne Ports. When this endorsement was given to James Mathews instead, Ronald contested the seat as an independent Labor candidate, but was unsuccessful. He rejoined the ALP after the election, but was one of many Labor members to leave in 1916 over the issue of conscription, eventually ending up in the Nationalist Party. Ronald died in 1941.",Agent,Politician,MemberOfParliament,James_Ronald,163
"4450 Pan, provisional designation 1987 SY, is a highly eccentric, contact-binary asteroid, classified as a near-Earth asteroid and potentially hazardous object. It belongs to the group of Apollo asteroids and measures approximately 1.1 kilometers in diameter. It was discovered on 25 September 1987, by American astronomers Eugene and Carolyn Shoemaker at the U.S Palomar Observatory in California. The stony S-type asteroid orbits the Sun at a distance of 0.6–2.3 AU once every 633 days (1 year and 9 months). Its orbit has a high eccentricity of 0.59 and an inclination of 6° with respect to the ecliptic. As an Apollo asteroid, it is an Earth-crosser and has a minimum orbit intersection distance with Earth of 0.0283 AU (4,230,000 km) or 11.0 lunar distances. In addition, due to its extremely eccentric orbit, it is also a Venus- and Mars-crosser and approaches Mercury within 20 Gm. Its first observation was made at Heidelberg Observatory in 1937, yet it remained unused and the asteroid's observation arc begins with its discovery observation in 1987. The asteroid is a contact binary, composed of two lobes in mutual contact, held together only by their weak gravitational attraction, and typically show a dumbbell-like shape (also see 4769 Castalia). A large number of near-Earth objects are thought to be contact binaries. The Collaborative Asteroid Lightcurve Link assumes a standard albedo for stony asteroids of 0.20 and calculates a diameter of 1.1 kilometers, while photometric observations by Italian Albino Carbognani at Saint-Barthelemy Observatory (B04) gave a diameter of 1.0±0.2 kilometers. In September 2013, a rotational light-curve of this asteroid was obtained from photometric observations by U.S. astronomer Brian D. Warner at his Palmer Divide Station in Colorado. It gave a long rotation period of 56.48±0.02 hours with a brightness variation of 0.64 in magnitude (U=3). The well-defined period superseds two previous observations by Petr Pravec at Silvano Casulli that gave a period of 60±12 and 3.51±0.02 hours, respectively.(U=2/1). The minor planet was named after Pan, the Greek god of nature, shepherds of flocks and wild animals. In art, he was represented as a horned half-man, half goat. Pan was worshiped by the citizens of Athens, after he had inspired panic in the hearts of their Persians enemies in the Battle of Marathon (also see 4356 Marathon). The modern word \""panic\"" origins from this myth. The name Pan has also been given to Saturn XVIII, one of the moons of Saturn. Naming citation was published on 30 January 1991 (M.P.C. 17657).",Place,CelestialBody,Planet,4450_Pan,411
"Wojciech Kowalczyk (born 14 April 1972) is a Polish retired footballer who played as a striker. The bulk of his professional career was spent with Legia Warsaw and in Spain. Early into his international career, he helped the Polish national team win the silver medal at the 1992 Summer Olympics.",Agent,Athlete,SoccerPlayer,Wojciech_Kowalczyk,50
Dendrolaelaps casualis is a species of mite first found in Finland.,Species,Animal,Arachnid,Dendrolaelaps_casualis,11
"Jana Pechanová (Czech pronunciation: [ˈjana ˈpɛxanovaː]; born March 3, 1981 in Rakovník, Czechoslovakia) is an Olympic distance swimmer from the Czech Republic. She swam for the Czech Olympic team at the 2004, 2008 and 2012. At the 2004 Summer Olympics, she in 19th in the 10 km open water marathon. At the 2008 Summer Olympics, Pechanová finished 8th in 10 km distance. At the 2012 Summer Olympics, she finished 9th in the same event.",Agent,Athlete,Swimmer,Jana_Pechanová,74
“Heyrati” (Azerbaijani: Heyratı) – is one of the rhythmic mughams of Azerbaijan. It’s performed at a key of “C rast” of “Mahur-hindi” branch. Its time signature is – 4/4. It has a vital and heroic character. Musical performance like an introduction is executed after each vocal part. Mugham was used in “Leyli and Majnun” opera by Uzeyir Hajibeyov. Signal calls of Azerbaijani radio were based on the beginning notes of this mugham.,TopicalConcept,Genre,MusicGenre,Heyrati,72
"The Château de Villefranche is a castle and stately home in the commune of Villeneuve-lès-Bouloc in the Haute-Garonne département of France. Originally built in the 16th century, it was transformed in the 18th and 19th centuries. Seat of the joint lord of Villeneuve-lès-Bouloc, the castle is a grand house from the end of the 16th century, redeveloped in line with contemporary taste in the 18th and 19th centuries. The residence, surrounded by old parkland and gardens, maintains from the Renaissance era its scale and an architectural dooreway. Inside, several rooms are decorated with wallpaper from the 1810s. The out-buildings include 18th century farm buildings and a sheep pen dated 1868. Privately owned, it has been listed since 2005 as a monument historique by the French Ministry of Culture.",Place,Building,Castle,Château_de_Villefranche,128
"Dalian University (Chinese: 大连大学; pinyin: Dàlián Dàxué) is a university in Dalian, Liaoning, China under the provincial government.",Agent,EducationalInstitution,University,Dalian_University,18
"Kyriaki \""Corinna\"" Tsopei (Greek: Κυριακή Κορίννα Τσοπέη; born 21 June 1944) is a Greek actress, model and beauty queen who won Miss Universe 1964.",Agent,Person,BeautyQueen,Corinna_Tsopei,24
"Bouca Airport (IATA: BCF, ICAO: FEGU) is a public use airport located near Bouca, Ouham, the Central African Republic.",Place,Infrastructure,Airport,Bouca_Airport,19
"The Prix des Chênes is a Group 3 flat horse race in France open to two-year-old thoroughbred colts and geldings. It is run at Longchamp over a distance of 1,600 metres (about 1 mile), and it is scheduled to take place each year in September.",Event,Race,HorseRace,Prix_des_Chênes,45
"Sir George Fletcher, 2nd Baronet (1633 – 23 July 1700) was an English politician who sat in the House of Commons at various times between 1661 and 1700. Fletcher was the only surviving son of Sir Henry Fletcher, 1st Baronet and his wife Catharine Dalston, daughter of Sir George Dalston, 4th Baronet. In 1645, he succeeded his father as baronet. Fletcher was High Sheriff of Cumberland in 1658 and 1680, and Vice Chamberlain to Queen Catherine of Braganza. He was Member of Parliament (MP) for Cumberland, representing it from 1661 to 1679 and again from 1681 to 1685. He sat a third time for the constituency from 1689 until his death in 1700. On 27 February 1654 or 1655, he married firstly Alice Hare, daughter of Hugh Hare, 1st Baron Coleraine at Totteridge, and by her he had a son and three daughters. Fletcher married secondly Lady Mary Johnstone, daughter of James Johnstone, 1st Earl of Hartfell by 1665. He had two sons and two daughters by his second wife. Fletcher died, aged 67 and was succeeded in the baronetcy by his son oldest son Henry. His second son George became a Member of Parliament for Cumberland and Cockermouth.",Agent,BritishRoyalty,Baronet,"Sir_George_Fletcher,_2nd_Baronet",199
"A Strange Man (Russian: Странный человек, Stranny tchelovek) is a play by Mikhail Lermontov, written in 1831 and published first in Saint Petersburg, 1860, by Stepan Dudyshkin (with considerable omissions concerning censorial demands), then, for the first time in its entirety, in 1880, by Pyotr Yefremov in the compilation Early Plays by M.Yu.Lermontov.",Work,WrittenWork,Play,A_Strange_Man,53
"The 1964 Guerrero earthquake occurred on July 6 at 01:22 local time in Guerrero, Mexico. The magnitude of this earthquake was given as Ms 7.4, or ML 7.2.",Event,NaturalEvent,Earthquake,1964_Guerrero_earthquake,28
